Date,Adj Close
13/09/2021,23.974537
14/09/2021,23.994146
15/09/2021,24.102009
16/09/2021,24.062786
17/09/2021,23.317566
20/09/2021,22.895927
21/09/2021,23.072426
22/09/2021,23.209705
23/09/2021,23.219511
24/09/2021,22.640982
27/09/2021,22.386038
28/09/2021,21.778095
29/09/2021,22.189928
30/09/2021,22.199734
1/10/2021,22.376234
4/10/2021,22.542927
5/10/2021,22.82729
6/10/2021,22.729233
7/10/2021,22.778261
8/10/2021,22.993984
11/10/2021,23.43523
12/10/2021,23.454842
13/10/2021,23.670565
14/10/2021,24.24909
15/10/2021,24.190258
18/10/2021,24.14123
19/10/2021,24.14123
20/10/2021,24.337341
21/10/2021,24.435396
22/10/2021,24.455008
25/10/2021,24.817812
26/10/2021,24.631508
27/10/2021,24.562868
28/10/2021,24.768785
29/10/2021,24.405979
1/11/2021,23.974537
2/11/2021,23.631342
3/11/2021,23.641148
4/11/2021,23.729399
5/11/2021,24.572672
8/11/2021,24.86684
9/11/2021,24.474617
10/11/2021,24.631508
11/11/2021,25.219839
12/11/2021,24.778591
15/11/2021,24.945286
16/11/2021,24.700146
17/11/2021,24.180452
18/11/2021,24.533453
19/11/2021,24.356953
22/11/2021,23.905897
23/11/2021,23.76862
24/11/2021,23.494064
25/11/2021,23.601927
26/11/2021,23.798037
29/11/2021,23.709787
30/11/2021,23.160677
1/12/2021,23.121454
2/12/2021,22.56254
3/12/2021,22.327208
6/12/2021,22.670401
7/12/2021,22.846899
8/12/2021,23.062622
9/12/2021,23.121454
10/12/2021,22.719427
13/12/2021,22.768454
14/12/2021,22.797871
15/12/2021,22.297789
16/12/2021,22.356623
17/12/2021,23.190094
20/12/2021,23.582314
21/12/2021,23.709787
22/12/2021,23.405815
23/12/2021,23.650955
24/12/2021,23.592119
29/12/2021,23.915703
30/12/2021,23.778427
31/12/2021,24.003952
4/01/2022,24.013758
5/01/2022,24.317728
6/01/2022,23.562704
7/01/2022,23.562704
10/01/2022,23.543093
11/01/2022,23.719593
12/01/2022,24.268702
13/01/2022,24.219675
14/01/2022,24.229479
17/01/2022,23.935312
18/01/2022,23.749008
19/01/2022,23.503868
20/01/2022,25.053144
21/01/2022,24.768785
24/01/2022,24.690342
25/01/2022,23.915703
27/01/2022,22.51351
28/01/2022,21.081903
31/01/2022,21.13093
1/02/2022,21.866344
2/02/2022,22.072262
3/02/2022,21.964401
4/02/2022,22.101681
7/02/2022,22.042845
8/02/2022,22.12129
9/02/2022,22.542927
10/02/2022,22.297789
11/02/2022,22.278179
14/02/2022,23.239122
